lowest ebbs,"[""The event featured a diverse and, at times, conflicting set of perspectives about how to facilitate peace at a time when Netanyahu and Obama are experiencing one of the lowest ebbs their relationship has ever seen.""]"
support any,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
by netanyahu's,"[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
and one,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
ebbs their,"[""The event featured a diverse and, at times, conflicting set of perspectives about how to facilitate peace at a time when Netanyahu and Obama are experiencing one of the lowest ebbs their relationship has ever seen.""]"
support a,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
the last,"[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
street u,"[""Of these, about 1,100 were college students from the organization's J Street U wing.""]"
against netanyahu.,"[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
"huffington post,","[""In a Friday interview with The Huffington Post, Obama said his administration would \""evaluate what other options are available.\""""]"
interview with,"[""In a Friday interview with The Huffington Post, Obama said his administration would \""evaluate what other options are available.\""""]"
gain acceptance,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
the organization's,"[""Of these, about 1,100 were college students from the organization's J Street U wing.""]"
know what?,"[""\""But you know what?""]"
benjamin netanyahu's,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
panel discussing,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
look over,"[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said."", ""Now J Street is going to have to look over its left shoulder -- a lot of it is because of Benjamin Netanyahu.""]"
much of,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
obama may,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
netanyahu's remark,"[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
"post, obama","[""In a Friday interview with The Huffington Post, Obama said his administration would \""evaluate what other options are available.\""""]"
paid no,"[""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
